taskId,answer
723606123#723606126,0
705618912#705618909,1
715784038#715784043,1
715515545#715515535,1
662123429#662123430,1
722180764#722180749,1
700825059#693908223,0
725716088#725716097,1
715410194#715410193,1
716200056#716200048,1
713968876#713968871,1
715948390#715948395,1
713163755#713163754,0
712180159#712180153,1
720307621#720307624,1
655769806#655769763,1
691832463#691832457,1
693716471#693716459,1
692479963#692479968,1
721113064#721113065,1
714661840#714661828,1
722459104#722459101,1
721186182#719787826,1
652965074#652965077,1
683935186#683935188,1
695765838#695765842,1
713200181#713200186,1
708660889#708660893,1
662060384#662060382,1
727713052#727713055,1
550337296#550337305,0
704833396#704833392,1
714723337#714723338,1
691147457#691147456,1
727215031#727215032,1
726965131#726965138,1
727469842#727469848,1
719706039#719706034,1
675622727#675622729,1
725714707#725714701,1
728025994#728025995,1
723663012#723663009,1
722701206#722701193,1
663111012#663111013,1
659561473#659561477,1
561125994#561125973,1
725369027#725369025,1
712808063#712808073,1
722263151#722263148,0
728087056#728087052,1
713122304#713122302,1
561199217#561199216,1
723170820#723170823,1
706512083#466786078,1
707834543#707834544,1
722236671#722236668,1
725967364#725967339,1
722286941#722286927,1
710181226#710181208,0
687007861#687007866,1
713768043#713768042,1
702670461#702670462,1
709569907#709569901,1
642644628#658392524,1
677116262#677116265,1
678659138#678659142,1
718102049#718102038,1
704373382#704373374,1
716089861#716089858,1
699186219#699186211,1
614211861#614211863,1
707333824#707333817,1
703769236#703769235,1
293163852#293163802,1
702235819#702235824,1
708153066#708153058,1
530077438#530077442,1
716576513#716576510,1
689583297#689583306,1
608940689#608940684,1
726405620#726405615,1
723027561#723027562,1
676519576#676519545,1
712615699#712615693,1
728243787#728243786,1
687528110#687528106,1
728690815#728690807,1
728869909#728869905,1
697726688#697726689,1
707305712#707305704,1
715687305#715687310,1
693894994#693894996,1
723054937#723054939,1
719069014#719069009,1
720483103#717823723,1
686909648#686909647,1
728525926#728525930,1
707292844#707292845,1
726713386#726713392,1
725536357#725536361,1
729403644#729403645,1
722602164#722602167,1
692783443#692783438,1
726993609#726993611,1
727151026#727151029,1
694549844#694549808,1
697559643#697559631,1
715985058#715985059,1
706175472#706175474,1
723168674#723168658,1
664666649#664666654,1
680939263#680939255,1
689999680#689999675,1
661825803#661825795,1
639738676#639738677,1
728359865#728359864,1
539365974#539365964,1
727997015#727997016,1
705863910#705863889,1
712308551#712308548,1
723762657#723762649,1
720745659#720745655,1
719616165#719616166,1
719706567#719706569,1
727389883#727389876,1
723757851#723757843,1
676930073#676930072,1
622521253#622521251,1
723226465#723226462,1
723305986#723305978,0
711746220#711746217,1
709961825#709961831,1
715155379#715155384,1
728198506#728198504,0
666833920#666833922,1
707038219#707038221,1
704601490#704601477,1
706316646#706316659,1
721780451#721780447,1
630868697#630868694,1
711692237#711692236,1
686686202#686686198,0
728902237#728902241,1
682317121#682317129,1
713167009#713167001,1
728246471#728246466,1
727660392#727660385,1
673061287#668385563,1
727593501#727593505,1
716444451#716444450,1
665741794#665741790,1
720247226#720247206,1
721601932#721601910,0
647420320#647420331,1
709025951#709025947,1
729197602#729197604,1
706202035#706202030,1
692503410#692503408,1
726812557#726819476,0
722104144#722104147,1
707223471#707223464,1
706615405#706615403,1
703404588#703404570,1
729389833#729389827,1
687685344#687685343,1
704895948#704895947,1
728530644#728530647,1
725516232#725516229,1
654849267#654849265,1
717861716#717861727,1
692135793#692135796,1
726756968#726756963,1
722638374#722638372,1
718094306#718094304,1
726662596#726662588,1
701217183#701217186,1
696503361#696503349,1
729310906#729310907,1
717085564#717085563,1
722174839#722174837,1
726913454#726913461,1
729465961#729465951,1
705163929#705163926,1
708803884#708803885,1
726780054#726780060,1
715925697#715925695,1
704918748#704918747,1
729308985#729308982,1
716698342#716698341,1
728402569#728390718,1
692443480#692443483,1
715800803#715800795,0
710547973#710547960,1
728443262#728443273,1
682011369#682011371,1
720077054#720077053,1
717129043#717129041,1
695201556#695201557,1
712477525#712477530,1
668335773#668335759,0
644642569#644642585,1
715880079#715880076,1
720965458#720965460,1
714150474#714150475,1
725278328#725278326,1
681843975#681843974,1
683820137#683820136,1
696860016#696860006,1
727089195#727089192,1
706753814#706753813,1
720405033#720405026,1
720631506#720631505,1
726098503#726098496,1
693903199#693903194,1
675942342#675942335,0
702300877#702300876,1
664260175#664260164,1
712185281#712185277,1
701549135#701549128,1
715144991#715144985,1
723404545#723404546,1
638151195#638151199,1
235358890#224942146,1
710024173#710024174,1
680014605#680014572,1
715220233#715220182,1
721098375#721098377,1
719532441#719532445,0
658225542#658225541,1
670330676#670330671,1
674964063#674964045,1
709436312#709436310,1
666543039#666543032,0
712368663#712368651,1
703819737#703819732,1
676435751#676435715,1
712612649#712612650,1
619691790#619691789,1
712809635#712809639,0
715428746#715428744,0
701517141#701517134,1
701664522#701664509,1
549795634#549795630,1
726013045#726013041,1
722184495#722184485,1
683413553#683413560,1
659725306#659725313,1
699189102#699189097,1
722475616#722475614,1
722782618#722782616,1
727330375#727330371,1
720497766#720497759,1
719382564#719382567,1
729318692#729318688,1
691519463#691519457,1
716156003#716155993,1
720636815#720636810,1
715880240#715880241,1
650873596#650873584,1
676569771#676569769,1
728182740#728182738,1
701683896#701683893,1
705679823#705679825,1
711831299#711831295,1
676836022#676836020,1
706328108#706328107,0
684712169#684712163,1
720776285#720776289,1
694513059#694513062,0
343644445#343644442,1
719537627#719537620,1
679660438#679660440,1
726145244#726145239,0
698698093#698698088,1
722186503#722186482,1
693885548#693885552,1
719209458#601086997,1
722367226#722367224,1
548477473#548477470,1
721003772#721003774,1
601178327#601178329,1
693212709#693212714,1
699579265#699579263,1
721978180#721978182,1
592195483#592195480,1
728087439#728087440,1
708029181#708029199,1
723170501#723170506,1
715630953#715630947,1
714379977#714379969,1
690398528#690398518,1
705753775#705753769,1
715796742#715796734,1
691615814#691615809,1
720937636#720937640,1
707891849#707891842,1
709335430#709335426,1
711021656#711021647,1
725162358#725162355,1
715944312#715944307,1
716684032#716684033,1
723219522#723219526,1
721478743#721478736,0
651696847#651696841,1
725939672#725939673,1
719754085#719754084,1
631088693#631088687,1
727537498#727537501,1
709682849#709682858,1
709969655#709969657,1
727757680#727757674,1
716956476#716956478,1
729268709#729268690,1
719176068#719176067,0
656337284#656337248,1
711687561#711687560,1
720727504#720727500,1
717875670#717875674,1
687667273#687667255,1
720215975#720215971,1
717903299#717903277,1
726600650#726608781,1
716605467#716605469,1
723184790#723184775,1
696635872#696635858,1
705908925#705908918,1
714129539#714129547,1
691740350#691740349,1
722488366#722488356,1
684108227#684108222,1
631239911#631239909,1
727964852#727964848,1
709767350#709767352,1
691785366#691785362,1
715501321#715501320,1
722195097#722195102,1
727858614#727858603,1
720515355#720515357,1
722084006#722084012,1
694510273#694510257,1
715395368#715395364,1
725843388#725843380,1
725371338#725371335,1
662616723#654959107,1
723555381#723555379,1
713911126#713911121,1
723720702#723720689,1
654493613#654493603,1
727821695#727821686,1
703383705#703383699,1
725452245#725452248,1
717390457#717003849,1
707668869#707668874,1
723792505#723792507,1
717384520#717384515,0
718245049#718245045,1
729270744#729270745,1
722887910#722887905,1
679021000#679021001,1
711938251#711938238,1
706295520#706295506,1
728812420#728812416,1
717832731#717832726,1
707984485#707984477,1
709918599#709918597,1
645795471#645795470,1
603357026#603357030,1
713555208#713555207,1
704427557#704427566,1
681917036#681917031,1
664002982#664002976,1
596325754#596325744,1
720824862#720824858,1
726181293#726181287,1
705370485#705370488,1
695842833#695842837,1
725045425#725045419,1
725535770#725535766,1
721873928#721873933,1
716389963#716389950,1
726335926#726335910,1
656020535#656020531,1
709242680#709242683,1
720497158#720497168,1
716654230#716654228,1
582774088#582774077,1
710326981#710326973,1
726700242#726700233,1
725784174#725784173,1
728952315#728952309,1
720927865#690852154,1
702181594#702181596,1
641152725#641152728,1
706558834#706558827,1
689202008#689202005,1
716762910#716762903,1
643661856#642316071,1
711932367#711932359,1
727242259#727242248,1
715405975#715405976,1
720389554#720389552,1
719524765#719524768,1
705765417#705765420,1
723709187#723709184,1
606019884#606019888,1
713991578#713991562,1
699048475#699048474,1
723475983#723475982,1
725336019#725336018,1
713922739#713922726,1
727220593#692162128,1
710484372#710484371,1
669052066#669052057,1
712366363#712366352,1
719211310#719211306,1
661726064#661726062,1
727010292#727010285,1
707285782#707285779,1
726441576#726441568,1
701145353#701145362,1
719519910#719519905,0
727965381#727965376,1
685649418#685649417,1
686420415#686420421,1
684932065#684932068,0
719963408#719963411,1
669482762#669482764,1
693386234#665776383,1
673961520#673961507,1
701647182#701647175,0
705370248#705370257,1
726572104#726572106,0
720735456#720735454,1
682582719#682582704,1
715687936#715687932,1
722945187#722945182,1
723802732#723802724,0
668778517#668778519,1
728957474#728957452,1
672696259#686108266,0
727425820#727425814,1
722481409#722481400,1
704843235#704843206,1
721019853#721019846,1
696423839#696423827,1
704958849#704958852,1
691831647#691831645,1
691792101#691792093,1
722292772#722292769,1
643347073#643347067,1
727460081#727460093,1
690823030#690823026,1
445570426#445570423,1
726906332#726906330,1
712118545#712118552,1
715744679#715744683,1
705349869#705349865,1
689860648#689860642,1
720510795#720510788,1
720291214#720291215,1
709761836#709761827,1
728504405#728504407,1
676539710#676539714,1
721417320#721417314,1
712278931#712278921,1
698003697#698003694,1
721735573#721735574,1
700449239#700449245,1
699237100#699237101,1
728299004#728299008,1
628026659#628026653,1
723050460#723050451,1
721252558#721252546,1
719995835#719995829,1
621976361#621976359,1
710424367#710424358,1
713756239#713756236,1
716297373#716297374,1
723901728#723901726,1
713860309#713860304,1
704261169#704261174,1
727959875#727959877,1
720705467#720705468,1
728209556#728209557,1
660961781#660961758,1
659321693#659321688,1
678836972#678836975,1
728469917#728469919,1
720188686#720188682,1
700123776#700123749,0
683555944#683555940,1
657869403#657869401,1
555537251#555537248,1
719613680#719613686,1
690027824#690027837,1
709031951#709031952,1
687859588#687859560,1
726751804#726751811,1
717151472#717151467,1
699431902#699431891,1
672959830#672959833,1
693901564#693901567,1
723390679#723390682,1
722012946#722012950,1
716018437#716018448,1
723044061#723044057,1
692079700#692079692,1
718221633#718221593,1
729044964#729044908,1
726099625#726099623,1
680401165#680401161,1
723812828#723812831,1
725499036#725499040,0
667145380#667145377,1
699739318#699739322,0
708418822#708418834,1
687425804#687425798,1
723716446#723716436,1
721761356#721761344,1
727489726#727489687,1
691985355#691985350,1
723901929#723901927,1
723337564#723337568,0
707793483#707793474,1
719745337#719745336,0
671608700#671608691,1
729514227#729514228,0
722023072#722023068,1
691619693#691619691,1
728588494#728588495,1
613193761#613193771,1
701411759#701411766,1
665031784#665031783,1
712650751#712650748,1
727241077#727241072,1
725846838#725846832,1
695989625#695989619,1
691529239#691529232,1
729238369#729238361,0
720097812#720097809,1
717213940#717213942,1
622952133#622819035,1
660243964#660243955,1
702559540#702559523,1
689213954#689213935,1
717255909#717255912,1
683637910#683637902,1
726075863#726075869,0
722849652#722849647,0
715114570#715114565,1
723028622#723028615,1
714456638#714456634,1
681285925#681285892,1
719097505#719097500,1
716872176#716872177,1
653464379#653464378,1
674083236#674083231,1
710894087#710894085,1
727486060#727486053,1
725095307#725095302,1
713408188#713408187,1
702998019#702998026,1
722596266#722596252,1
714253603#714253606,1
720737866#720737852,1
727882166#727882170,1
685290097#685290099,1
725841593#725841564,1
707356513#707356515,1
727154638#727154642,1
720153206#720153209,1
677754877#712302175,1
725774447#725774443,1
693888129#693888121,1
722260282#722260281,1
723635828#723635825,1
631119064#631119063,1
554838365#554838370,1
720684490#720684498,1
702173807#702173799,1
722995113#722995101,1
646837327#646837286,1
719877019#719877023,1
570290752#570290742,1
725476099#725476105,1
707353156#707353170,1
726381850#726381856,1
551532456#551532444,1
725098014#725098017,0
712427652#712427655,1
691778019#691778004,1
726534235#726534221,1
718087140#718087143,1
702490050#702490049,1
662636156#662636159,1
722780845#722780844,1
719578541#719578535,1
669459553#669459546,1
693905030#693905036,1
702064828#702064812,1
729391201#729391203,1
561181897#561181870,0
702730881#702730877,1
716729731#716729729,1
723569524#723569527,1
561129274#561129268,1
644185186#644185178,1
715773475#715773482,1
705860857#705860873,1
686220564#686220553,1
662642068#662642077,1
725812780#725812786,1
718093914#718093913,1
596892294#596892300,1
726118139#726118129,0
719381805#719381798,1
725058079#725058077,1
387333644#387333648,1
727661155#727661159,1
698959634#698959624,1
707322510#707322504,1
715926409#715926397,1
709757452#709757454,1
665239780#665239778,1
719900744#719900741,0
721128877#721128879,1
658837863#658837869,1
715494255#715494248,1
722621392#722621390,1
676493939#676493946,1
722266738#722266734,1
699902748#583846913,1
725311799#725311794,1
642831395#642831391,1
662902937#662902933,1
709500540#709500538,1
713545291#713545280,1
701677139#701677138,1
723891750#723891747,1
674944382#674944368,1
728903330#728903321,0
561245050#561245045,1
629509295#629509289,1
728944830#728944825,1
723774376#723774384,1
721225797#721225803,1
714920431#714920429,1
722641587#722641586,1
727036152#727036151,1
727729835#727729837,1
721381939#721381938,1
669977671#669977675,1
658532200#658532197,1
720945724#720945722,1
700682200#700682194,1
703498548#703498547,0
664665272#664665263,1
699456186#699456181,1
727002396#727002391,1
729343674#729343672,1
726309135#725508331,1
681432816#681432823,1
705680850#705680829,1
726444337#726444330,1
691128361#691128354,0
722440084#722440081,1
657804345#657804339,1
726598334#726598328,1
668543063#668543069,1
650435235#650435239,1
711243003#711243004,1
722935560#722935558,1
716288523#716288526,1
708805116#708805104,1
716887860#716887846,1
720630660#720630657,1
720845181#720845187,1
715660076#715660080,1
729333409#729333407,1
725192644#725192645,1
727664021#727664010,1
677737375#677737363,1
610868319#610868305,1
723079279#723079276,1
723182243#723182236,1
725056554#725056552,1
694535080#694535085,1
686476471#686476463,1
681568539#681568534,1
546905412#546905411,1
719171009#719171003,1
661747136#661747141,1
725713004#725712994,1
676595474#676595472,1
716101728#716101730,1
726075092#726075097,1
726421282#726421281,1
706358425#706358409,1
658661870#658661866,1
670367355#670367354,1
708706269#708706259,1
649497220#649497235,1
728422638#728422633,0
728242129#728242123,1
697289941#697289944,1
694456936#694456925,1
721215565#721215568,1
706181406#706181404,1
694751814#694751810,1
729510809#729510805,1
722888631#722888614,1
615770108#615770116,1
721192139#721192138,1
711938259#711938247,0
720503855#720503856,1
692399455#692399454,1
701273922#701273914,1
697305926#697305927,1
692969182#692969179,1
712415918#712415912,1
708297343#708297347,1
718261299#718261286,1
709549782#709549783,1
712103496#712103493,1
670477548#670477552,1
722279534#722279539,1
721809727#721809720,1
703349832#703349828,1
703189577#703189560,1
707327376#707327365,1
650592171#650592161,1
694485923#694485914,1
719570218#719570220,1
630271965#630271963,1
706822895#706822875,1
715321164#715321162,0
724983873#724983861,1
726049825#726049823,1
698776301#698776271,1
719543561#719543563,1
686634801#686634790,1
715836635#715836632,1
720648931#720648926,1
725301801#725301815,1
716552050#716552052,1
725176559#725176564,1
629485975#629485972,1
726632958#726632956,1
729073523#729073521,1
721021037#721021031,1
720777356#720777342,1
677148776#677148781,1
723153126#723153127,1
717184882#717184879,1
704376462#704376459,1
719192686#321030478,1
695313603#695313602,1
703541697#703541700,1
725798247#725798252,1
723291044#723291037,0
729167624#729167626,1
700579567#700579534,1
728572482#728572468,1
698617362#698617351,1
728235764#728235745,1
713396708#713396702,1
717391427#717391435,1
726497124#726497125,1
721150003#721150004,1
722494185#722494188,1
729210815#729210819,1
682169780#682169779,1
653129306#653129302,1
660724842#660724836,1
712190293#712190291,1
726938829#726938835,1
508838940#508838932,1
719925082#719925077,1
708556648#708556644,1
709931887#709931886,1
723085282#723061292,1
729305579#729305585,1
571174912#571174900,1
589442331#589442314,1
714359880#714359881,1
705900385#705900380,1
707371872#707371870,1
527887821#527887824,1
717361668#717361660,1
655196434#655196430,1
661558579#661558580,1
703136886#703136890,1
712828236#712828237,1
727880782#727880772,1
676441948#676441940,1
719750539#719750536,1
715602068#715602071,1
547612590#547612586,1
720960517#720928623,0
716290098#716290095,1
722092158#722092160,1
729383741#729383742,1
725120624#725120625,1
728059482#728059485,1
700820430#700820434,1
725203399#725203410,1
726617667#726617663,1
702391597#702391598,1
712159893#712159891,1
674661592#674661589,1
656378178#656378181,1
722141471#722141470,1
728620819#728620818,1
726299928#726299938,1
707984667#707984669,0
727981022#727981018,1
723321822#723321831,1
673746995#673746985,1
681191608#681191588,1
723554089#723554087,1
521359892#521359897,1
723103005#723103006,1
726221748#726221738,1
696972381#696972375,1
726728403#726728398,1
717602761#717602759,1
725118655#725118656,1
707486845#707486839,1
713506842#713506844,1
707846749#707846742,1
726633833#726633836,1
677402533#677402531,1
716005211#716005203,1
478428871#478428873,1
705123028#705123027,1
564640613#564640610,1
539362278#539362270,1
727171367#727171371,1
693230034#693230021,1
711768889#711768882,0
714852525#714852519,1
660424797#660424799,1
695274107#695274109,1
723348398#723348386,0
729311164#729311165,1
726406549#726406540,1
720157963#720157959,1
722055169#722055165,1
711354951#711354960,1
711582826#711582822,1
719933382#719933384,1
728842693#728842696,1
706493116#706493118,1
728325590#728325584,1
710000338#710000334,1
722476365#722476361,0
721662980#721662975,1
522497196#522497194,1
687029597#687029591,1
715353355#715353352,1
696428936#696428946,1
715673073#715673074,1
706514064#706514073,1
691126082#691126080,1
713970102#713970096,0
704160256#704160254,1
619053454#619053453,1
631258681#631258677,1
720056184#720056177,1
728092768#728092775,0
648963372#648963366,1
667264236#667264233,1
561152056#561152036,1
683877504#683877498,1
719675816#719675813,1
723772711#723772709,1
701350015#701350008,1
693638672#723508520,1
707323815#707323791,1
726335497#726335482,1
663981224#621355480,1
700376787#700376773,1
681525759#681525752,1
717286282#717286287,1
601398395#601398377,0
658444119#658444113,1
726727706#726727699,1
702314988#702314972,1
725867651#725867653,1
727019599#727019585,1
688093050#688093053,1
724980739#724980725,1
710258618#710258622,1
707668362#707668359,1
675543850#675543842,1
712377297#712377299,1
716075853#716075848,1
698049587#698049586,1
715900595#715900593,1
707164787#707164781,1
686798027#686798028,1
653939977#653939971,1
694134167#694134165,1
717354423#717354435,1
668327050#668327045,1
723564645#723564640,1
727793334#727793331,1
706774754#706774752,1
725059389#725059388,1
691650928#691650930,1
719212162#604656124,1
717229350#681320085,1
675815778#668036634,1
720647569#720647570,1
722761870#722761865,1
723566359#723566361,1
727000700#727000698,0
536191975#536191974,1
727726185#727726182,1
723756783#723756776,1
712151387#712151385,1
678395494#678395475,1
531887187#531887182,1
675974670#675974672,1
719520342#719520344,1
719383723#719383720,1
725771560#725771565,1
680180466#680180459,1
687530078#687530069,1
729077212#729077202,1
660494077#660494101,1
727854710#727854692,1
721591009#721591016,1
682190540#682190533,1
521089647#521089649,1
705791867#705791865,1
719573507#719573506,1
709787416#709787408,1
725713359#725713357,1
727270282#727270274,1
721872024#721872025,1
729271559#729271560,0
667470775#667470773,1
686964783#686964781,1
492350402#492350396,1
616608876#616608849,1
726915282#726915278,1
727530440#727530437,1
727932031#727932033,1
629800596#629800581,1
652095282#652095285,1
703052125#703052128,1
724984739#724984755,1
672325977#672325968,1
729247751#729247742,1
623963600#623963601,1
726928098#726928085,1
726101738#726101745,1
679586660#679586676,1
726399351#726399349,1
722707664#722707657,1
687207269#687207274,1
728584439#728584441,1
723610685#723610686,1
727688768#727688756,1
720932630#720932636,1
716497931#716497914,1
719632919#719632918,1
680351192#680351179,1
721304586#721304583,0
721974083#721994923,1
728103807#728103803,1
720024744#720024739,1
588970863#588970859,1
706561894#706561889,1
495030596#495030575,1
709475894#709475895,0
725565145#725565131,1
729458540#729458539,1
661364179#661364176,1
716883276#716883277,1
708471181#708471180,1
706959169#706959168,1
619580013#619580009,1
725701429#725701427,1
681006479#681006477,1
717210641#717210640,1
673519683#673519694,1
702433170#702433166,1
718262675#718262672,1
723732834#723732821,0
727128348#727128355,1
721823232#721823226,1
726147347#726147342,1
658721448#658721440,1
727529360#727529359,1
687025641#687025647,1
727075672#727075671,0
680195015#680195016,1
682146735#682146729,0
718100906#718100910,1
705567675#705567674,1
720883867#720883857,1
694027832#694027821,1
647076584#647076579,1
703273801#703273793,1
699405205#699405208,1
722774557#722774543,1
696015061#696015058,0
708688106#708688137,1
716291944#716291950,1
681901901#681901894,1
714303253#714303243,1
719546427#719546422,1
729191702#729191699,1
655347437#655347434,1
665957042#665957035,1
655157998#655158006,1
688650262#688650258,1
723267302#723267298,1
706095124#706095131,1
674042507#674042511,1
713947388#713947393,1
725393251#725393257,1
706147538#706147523,1
715319188#715319187,1
695982520#695982512,1
591285117#591285105,1
630385956#630385950,1
688136872#688136871,1
707360010#707360008,1
685447546#685447541,1
668252356#668252353,1
716928116#716928115,1
668463205#668463202,1
698045026#698045037,1
710073721#710073718,1
720882558#720882554,1
714691922#714691900,1
561183134#561183130,1
706595562#706595560,1
651997440#651997434,1
710197207#710197202,1
726984609#726984594,1
717696729#717696725,1
719813046#698209371,1
709233878#709233881,0
720802687#720765051,0
615639145#615639141,1
681854824#681854825,1
664543133#664543128,1
569281334#569281335,1
725717889#725717891,1
695565557#695565524,1
714781725#714781726,1
707823719#707823709,1
708870449#708870452,1
720423925#720423916,1
499287683#499287678,1
692016554#692016552,1
615135908#615135910,1
716997847#716997848,1
726341802#726341796,1
494890958#494890952,0
725966903#725966904,1
636314322#636314320,1
701916192#701916194,1
726626573#726626569,1
624243798#624243793,1
727402807#727402803,0
715092848#715092850,1
726674945#726674947,1
678718665#678718664,1
719857651#719857654,1
722455071#722455052,1
693756798#693756797,1
703488326#703488319,1
704169887#704169882,1
715030953#715030943,0
690753602#690753601,1
531905052#531905020,1
561278929#561278939,1
719148425#719148418,1
727794188#727794195,1
640929068#640929073,1
691660870#691660866,1
718324457#718324455,1
726060461#726060463,1
716703550#716703534,1
719405588#719405566,1
727967406#727967404,1
719522195#719522198,1
728746912#728746909,1
720746029#720746033,1
723360636#723360635,1
706031482#706031477,1
728696423#728696422,1
691605933#691605931,1
719985137#719985142,1
687960853#687960858,1
659318043#659318010,1
692577705#692577673,1
716083805#716083802,1
723469977#723469974,1
718245686#718245682,1
712375769#712375771,1
727320241#727320240,1
662007410#662007377,1
660058900#660058896,1
726773896#726773869,1
716256526#716256521,1
729344903#729344906,1
550039576#550039568,1
729486728#729486729,1
729215928#729215924,1
692388371#692388366,1
709338278#709338277,1
717628265#717628260,1
727959907#727959909,1
712216488#712216492,1
725629121#725629117,1
727510105#727510099,1
713662711#713662709,1
720171540#720171537,1
717897138#717897143,1
726624560#726624554,1
680916164#680916162,1
681730521#681730526,1
726373184#726373182,1
691524947#691524945,1
717075552#717075555,1
660153465#660153477,1
671183174#671183175,1
722508785#722508772,1
725229180#725229182,1
710547421#710547424,1
712182997#712182998,1
727311369#727311361,1
721011635#721011632,1
704782022#704782021,1
722321083#722321075,1
723547327#723547328,1
711628104#711628107,1
723258912#723258909,1
694208907#694208909,1
727688528#727688524,1
728014446#728014450,1
710784799#710784788,1
726736623#726736618,1
721542778#721542763,1
570289451#570289444,1
726359016#726359000,1
707311706#707311691,1
705345129#705345121,1
680978971#680978970,1
707329146#707329139,1
682439140#682439136,1
658180466#658180458,1
675606442#675606436,1
463342313#463342302,1
694538607#694538590,1
663769536#663769531,1
668425014#668425002,0
726542016#726542027,1
695854375#695854363,1
683775782#683775781,1
711952892#711952894,1
653183042#653183037,1
727810833#727810825,1
707653918#707653927,1
677648966#677648963,1
606657071#606657075,1
692420535#692420534,1
710111593#699040690,1
722454167#722454171,1
723148768#723148764,1
690957013#690957014,1
708726519#708726503,1
726057272#726057266,1
682412825#682412818,1
725713241#725713237,1
722586476#722586477,1
728970484#728970491,1
729099963#729099965,1
705668344#705668348,1
679308651#679308660,1
719716261#719716259,1
722229217#722229221,1
723152136#723152144,0
716133920#716133916,1
680453469#680453463,1
728746452#728746437,1
715535020#715535026,1
729337967#729337932,1
705533122#705533111,1
655212327#655212325,1
715415811#715415808,1
712738196#712738201,1
653502996#653503013,1
691822112#691822097,1
682027344#682027337,1
687552181#687552159,1
686535179#686535183,1
669005175#669005177,0
715259813#715259808,1
727214959#727214957,1
709401669#709401658,1
698866223#698866205,1
728527295#728527297,1
726164459#726164464,1
686995592#686995567,1
728429839#728429825,1
703160100#703160099,1
707294708#707294704,1
391762587#391762575,1
725020661#725020663,1
703478747#703478745,1
727911835#727911837,1
723127077#723127074,1
681922253#681922249,1
539365558#539365556,1
720272232#720272229,1
683188759#683188755,1
715125385#715125383,1
722367276#722367269,0
719119706#719119708,1
715681840#715681836,1
507312273#507312270,1
714309013#714309011,1
674969719#674969720,1
721549330#721549320,1
723409264#716729808,1
631421386#631421378,1
647772782#647772776,0
729046667#729046665,1
721204493#710106999,1
729191163#729191160,0
660254801#660254760,1
722899844#722899835,1
667701509#667701512,1
671591501#671591492,1
535981674#535981670,1
716287838#716287841,1
691695736#691695728,1
727894772#727894750,0
679767492#679767488,1
725835828#725835824,1
721820555#721820560,1
681529334#681529312,1
539622395#539622383,1
646828656#646828649,1
707217890#707217887,1
